varName;Deutsch;English;useInRule_1;Col5;Col6;Col7;Col8;shortNames;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17
B5000_014;per Rad zum n‰chsten Taxistand;by bike to the next cab station;0;B;5000_014;zum n‰chsten;Taxistand;Taxistand;;to the next;Cab station;cab station;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_001;per Rad zum n‰chsten Aussichtspunkt;by bike to the next view point;0;B;6000_001;zum n‰chsten;Aussichtspunkt;Aussichtspunkt;;to the next;View point;view point;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_002;per Rad zur n‰chsten Bar/Kneipe;by bike to the next bar/pub;-0.8;B;6000_002;zur n‰chsten;BarKneipe;Bar/Kneipe;;to the next;Bar/Pub;bar/pub;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B6000_003;per Rad zur n‰chsten Bibliothek/Buchhandlung;by bike to the next library/book store;0;B;6000_003;zur n‰chsten;BibliothekBuchhandlung;Bibliothek/Buchhandlung;;to the next;Library/Book store;library/book store;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B6000_004;per Rad zum n‰chsten Club;by bike to the next club;0;B;6000_004;zum n‰chsten;Club;Club;;to the next;Club;club;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_005;per Rad zum n‰chsten Friedhof;by bike to the next cementery;0;B;6000_005;zum n‰chsten;Friedhof;Friedhof;;to the next;Cementery;cementery;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_006;per Rad zur n‰chsten Galerie;by bike to the next gallery;0;B;6000_006;zur n‰chsten;Galerie;Galerie;;to the next;Gallery;gallery;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B6000_007;per Rad zum n‰chsten Gotteshaus;by bike to the next church/religious facility;0;B;6000_007;zum n‰chsten;Gotteshaus;Gotteshaus;;to the next;Church/Religious facility;church/religious facility;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_008;per Rad zum n‰chsten Jagd-/Fischereigebiet;by bike to the next hunting/fishing zone;0;B;6000_008;zum n‰chsten;JagdundFischereigebiet;Jagd-/Fischereigebiet;;to the next;Hunting/Fishing zone;hunting/fishing zone;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_009;per Rad zum n‰chsten Kino;by bike to the next cinema;0;B;6000_009;zum n‰chsten;Kino;Kino;;to the next;Cinema;cinema;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_010;per Rad zum n‰chsten Museum;by bike to the next museum;0;B;6000_010;zum n‰chsten;Museum;Museum;;to the next;Museum;museum;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_011;per Rad zum n‰chsten Park;by bike to the next park;0;B;6000_011;zum n‰chsten;Park;Park;;to the next;Park;park;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_012;per Rad zum n‰chsten Restaurant/CafÈ;by bike to the next restaurant/cafÈ;0;B;6000_012;zum n‰chsten;RestaurantCafe;Restaurant/CafÈ;;to the next;Restaurant/CafÈ;restaurant/cafÈ;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_013;per Rad zum n‰chsten Schwimmbad/Badestelle;by bike to the next swiming pool/site;0;B;6000_013;zum n‰chsten;SchwimmbadBadestelle;Schwimmbad/Badestelle;;to the next;Swiming pool/site;swiming pool/site;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_014;per Rad zur n‰chsten Sehensw¸rdigkeit;by bike to the next sight;0;B;6000_014;zur n‰chsten;Sehenswuerdigkeit;Sehensw¸rdigkeit;;to the next;Sight;sight;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B6000_016;per Rad zum n‰chsten Spielplatz;by bike to the next playground;0;B;6000_016;zum n‰chsten;Spielplatz;Spielplatz;;to the next;Playground;playground;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_017;per Rad zur n‰chsten Sportst‰tte;by bike to the next sports;0;B;6000_017;zur n‰chsten;Sportstaette;Sportst‰tte;;to the next;Sports;sports;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B6000_018;per Rad zum n‰chsten Theater;by bike to the next theater;0;B;6000_018;zum n‰chsten;Theater;Theater;;to the next;Theater;theater;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_019;per Rad zum n‰chsten Tiergehege;by bike to the next animal park;0;B;6000_019;zum n‰chsten;Tiergehege;Tiergehege;;to the next;Animal park;animal park;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_020;per Rad zur n‰chsten Touristeninformation;by bike to the next tourist information;0;B;6000_020;zur n‰chsten;Touristeninformation;Touristeninformation;;to the next;Tourist information;tourist information;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B6000_021;per Rad zum n‰chsten Veranstaltungsort;by bike to the next event location;0;B;6000_021;zum n‰chsten;Veranstaltungsort;Veranstaltungsort;;to the next;Event location;event location;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_022;per Rad zum n‰chsten Weihnachtsmarkt;by bike to the next christmas market;0;B;6000_022;zum n‰chsten;Weihnachtsmarkt;Weihnachtsmarkt;;to the next;Christmas market;christmas market;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_023;per Rad zur n‰chsten Ausgleichsfl‰che;by bike to the next ecological substitution area;0;B;6000_023;zur n‰chsten;Ausgleichsflaeche;Ausgleichsfl‰che;;to the next;Ecological substitution area;ecological substitution area;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B6000_024;per Rad zum n‰chsten Schutzgebiet;by bike to the next protected natural area;0;B;6000_024;zum n‰chsten;Schutzgebiet;Schutzgebiet;;to the next;Protected natural area;protected natural area;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_025;per Rad zum n‰chsten Hotel/Hostel;by bike to the next hotel/hostel;0;B;6000_025;zum n‰chsten;HotelHostel;Hotel/Hostel;;to the next;Hotel/Hostel;hotel/hostel;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B6000_026;per Rad zum n‰chsten Wellness;by bike to the next wellness;0;B;6000_026;zum n‰chsten;Wellness;Wellness;;to the next;Wellness;wellness;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_001;per Rad zum n‰chsten B‰cker;by bike to the next bakery;0;B;7000_001;zum n‰chsten;Baecker;B‰cker;;to the next;Bakery;bakery;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_002;per Rad zur n‰chsten Bank;by bike to the next bank;0;B;7000_002;zur n‰chsten;Bank;Bank;;to the next;Bank;bank;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B7000_003;per Rad zum n‰chsten Einkaufszentrum/Sonstiges Shopping;by bike to the next mall/shopping;0;B;7000_003;zum n‰chsten;EinkaufszentrumSonstigeShopping;Einkaufszentrum/Sonstiges Shopping;;to the next;Mall/Shopping;mall/shopping;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_004;per Rad zum n‰chsten Friseur;by bike to the next hairdresser;0;B;7000_004;zum n‰chsten;Friseur;Friseur;;to the next;Hairdresser;hairdresser;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_005;per Rad zum n‰chsten Geldautomat;by bike to the next atm;0;B;7000_005;zum n‰chsten;Geldautomat;Geldautomat;;to the next;ATM;atm;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_006;per Rad zum n‰chsten Kiosk;by bike to the next kiosk;0;B;7000_006;zum n‰chsten;Kiosk;Kiosk;;to the next;Kiosk;kiosk;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_007;per Rad zur n‰chsten Post;by bike to the next post office;0;B;7000_007;zur n‰chsten;Post;Post;;to the next;Post office;post office;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B7000_008;per Rad zur n‰chsten Reinigung;by bike to the next cleaning service;0;B;7000_008;zur n‰chsten;Reinigung;Reinigung;;to the next;Cleaning service;cleaning service;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B7000_009;per Rad zum n‰chsten Schuster/Schl¸sseldienst;by bike to the next shoemaker/locksmith;0;B;7000_009;zum n‰chsten;SchusterSchluesseldienst;Schuster/Schl¸sseldienst;;to the next;Shoemaker/Locksmith;shoemaker/locksmith;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_010;per Rad zum n‰chsten Wochenmarkt;by bike to the next weeky market;0;B;7000_010;zum n‰chsten;Wochenmarkt;Wochenmarkt;;to the next;Weeky market;weeky market;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_011;per Rad zum n‰chsten Lebensmittelgesch‰ft;by bike to the next grocery stores;-0.8;B;7000_011;zum n‰chsten;Lebensmittelgeschaeft;Lebensmittelgesch‰ft;;to the next;Grocery stores;grocery stores;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_012;per Rad zum n‰chsten Anwalt;by bike to the next lawyer;0;B;7000_012;zum n‰chsten;Anwalt;Anwalt;;to the next;Lawyer;lawyer;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_013;per Rad zum n‰chsten Finanzberater;by bike to the next financial consultant;0;B;7000_013;zum n‰chsten;Finanzberater;Finanzberater;;to the next;Financial consultant;financial consultant;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_014;per Rad zum n‰chsten Tierarzt;by bike to the next vetinarian;0;B;7000_014;zum n‰chsten;Tierarzt;Tierarzt;;to the next;Vetinarian;vetinarian;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_015;per Rad zum n‰chsten Rotlicht;by bike to the next red light;0;B;7000_015;zum n‰chsten;Rotlicht;Rotlicht;;to the next;Red light;red light;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_016;per Rad zum n‰chsten Gl¸cksspiel;by bike to the next gambling;0;B;7000_016;zum n‰chsten;Gluecksspiel;Gl¸cksspiel;;to the next;Gambling;gambling;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_017;per Rad zur n‰chsten ÷ffentliche Toiletten;by bike to the next public toilete;0;B;7000_017;zur n‰chsten;OeffentlicheToiletten;÷ffentliche Toiletten;;to the next;Public toilete;public toilete;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B7000_018;per Rad zur n‰chsten Videothek;by bike to the next video store;0;B;7000_018;zur n‰chsten;Videothek;Videothek;;to the next;Video store;video store;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B7000_019;per Rad zur n‰chsten Fahrschule;by bike to the next driving school;0;B;7000_019;zur n‰chsten;Fahrschule;Fahrschule;;to the next;Driving school;driving school;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B7000_020;per Rad zum n‰chsten Nagelstudio/Kosmetik;by bike to the next nail bar/cosmetics;0;B;7000_020;zum n‰chsten;NagelstudioKosmetik;Nagelstudio/Kosmetik;;to the next;Nail bar/cosmetics;nail bar/cosmetics;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_021;per Rad zum n‰chsten Handwerk;by bike to the next handcraft;0;B;7000_021;zum n‰chsten;HandwerkVerschiedene;Handwerk;;to the next;Handcraft;handcraft;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_022;per Rad zum n‰chsten Autohandel;by bike to the next car dealer;0;B;7000_022;zum n‰chsten;Autohandel;Autohandel;;to the next;Car dealer;car dealer;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_023;per Rad zur n‰chsten Bestattung;by bike to the next motician;0;B;7000_023;zur n‰chsten;Bestattung;Bestattung;;to the next;Motician;motician;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B7000_024;per Rad zum n‰chsten Optiker/Hˆrger‰te;by bike to the next optics/hearing devices;0;B;7000_024;zum n‰chsten;OptikerHoergeraete;Optiker/Hˆrger‰te;;to the next;Optics/Hearing devices;optics/hearing devices;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B7000_025;per Rad zum n‰chsten Schneider;by bike to the next tailor;0;B;7000_025;zum n‰chsten;Schneider;Schneider;;to the next;Tailor;tailor;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B8000_001;per Rad zur n‰chsten Untersuchungsgebiet;by bike to the next study area;0;B;8000_001;zur n‰chsten;Untersuchungsgebiet;Untersuchungsgebiet;;to the next;Study area;study area;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B8000_002;per Rad zur n‰chsten Kommune;by bike to the next municipality;0;B;8000_002;zur n‰chsten;Kommune;Kommune;;to the next;Municipality;municipality;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B8000_003;per Rad zum n‰chsten Postleitzahlgebiet;by bike to the next zip code region;0;B;8000_003;zum n‰chsten;Postleitzahlgebiet;Postleitzahlgebiet;;to the next;ZIP code region;zip code region;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B8000_004;per Rad zum n‰chsten Stadtteil;by bike to the next city district;0;B;8000_004;zum n‰chsten;Stadtteil;Stadtteil;;to the next;City district;city district;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B8000_005;per Rad zum n‰chsten StatistischeBezirkWahlbezirk;by bike to the next statistical/vote district;0;B;8000_005;zum n‰chsten;StatistischeBezirkWahlbezirk;StatistischeBezirkWahlbezirk;;to the next;Statistical/Vote district;statistical/vote district;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B8000_006;per Rad zur n‰chsten Richtwertzone;by bike to the next ground value zone;0;B;8000_006;zur n‰chsten;Richtwertzone;Richtwertzone;;to the next;Ground value zone;ground value zone;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B8000_007;per Rad zum n‰chsten Quartier;by bike to the next city quartet;0;B;8000_007;zum n‰chsten;Quartier;Quartier;;to the next;City quartet;city quartet;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B8000_008;per Rad zur n‰chsten Bauleitplanung;by bike to the next land use planning;0;B;8000_008;zur n‰chsten;Bauleitplanung;Bauleitplanung;;to the next;Land use planning;land use planning;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B8000_009;per Rad zum n‰chsten Baublock;by bike to the next building block;0;B;8000_009;zum n‰chsten;Baublock;Baublock;;to the next;Building block;building block;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B8000_010;per Rad zur n‰chsten Adresse;by bike to the next address;0;B;8000_010;zur n‰chsten;Adresse;Adresse;;to the next;Address;address;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B8000_011;per Rad zur n‰chsten Adresskoordinate;by bike to the next address coordinate;0;B;8000_011;zur n‰chsten;Adresskoordinate;Adresskoordinate;;to the next;Address coordinate;address coordinate;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B8000_012;per Rad zur n‰chsten Person;by bike to the next person;0;B;8000_012;zur n‰chsten;Person;Person;;to the next;Person;person;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B9000_001;per Rad zur n‰chsten Ampel;by bike to the next stop light;0;B;9000_001;zur n‰chsten;Ampel;Ampel;;to the next;Stop light;stop light;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B9000_002;per Rad zur n‰chsten Dauerbaustelle;by bike to the next construction site;0;B;9000_002;zur n‰chsten;Dauerbaustellen;Dauerbaustelle;;to the next;Construction site;construction site;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B9000_003;per Rad zur n‰chsten Barriere;by bike to the next barrier;0;B;9000_003;zur n‰chsten;Barrieren;Barriere;;to the next;Barrier;barrier;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B9000_004;per Rad zum n‰chsten Fahrradwegenetz;by bike to the next bicycle network;0;B;9000_004;zum n‰chsten;Fahrradwegenetz;Fahrradwegenetz;;to the next;Bicycle network;bicycle network;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B9000_005;per Rad zum n‰chsten Fuﬂ-/Wanderweg;by bike to the next pedestrian network;0;B;9000_005;zum n‰chsten;FussWanderwege;Fuﬂ-/Wanderweg;;to the next;Pedestrian network;pedestrian network;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B9000_006;per Rad zum n‰chsten Liniennetz ÷PNV;by bike to the next public transportation network;0;B;9000_006;zum n‰chsten;LiniennetzOePNV;Liniennetz ÷PNV;;to the next;Public transportation network;public transportation network;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B9000_007;per Rad zum n‰chsten Straﬂennetz;by bike to the next streets network;0;B;9000_007;zum n‰chsten;Strassennetz;Straﬂennetz;;to the next;Streets network;streets network;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B9000_008;per Rad zur n‰chsten Leitung;by bike to the next technical line;0;B;9000_008;zur n‰chsten;Leitung;Leitung;;to the next;Technical line;technical line;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B1100_001;per Rad zur n‰chsten Biogasanlage;by bike to the next biogas plant;0;B;1100_001;zur n‰chsten;Biogasanlage;Biogasanlage;;to the next;Biogas plant;biogas plant;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B1100_002;per Rad zum n‰chsten Blockheizkraftwerk;by bike to the next communal heating plant;0;B;1100_002;zum n‰chsten;Blockheizkraftwerk;Blockheizkraftwerk;;to the next;Communal heating plant;communal heating plant;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B1100_003;per Rad zur n‰chsten Deponie;by bike to the next landfill;0;B;1100_003;zur n‰chsten;Deponie;Deponie;;to the next;Landfill;landfill;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B1100_004;per Rad zur n‰chsten Kl‰rschlammausbringung;by bike to the next sludge disposal;0;B;1100_004;zur n‰chsten;Klaerschlammausbringung;Kl‰rschlammausbringung;;to the next;Sludge disposal;sludge disposal;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B1100_005;per Rad zum n‰chsten Kl‰rwerk;by bike to the next waste water treatment plant;0;B;1100_005;zum n‰chsten;Klaerwerk;Kl‰rwerk;;to the next;Waste water treatment plant;waste water treatment plant;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B1100_006;per Rad zur n‰chsten Kraft-W‰rme-Kopplungsanlagen;by bike to the next cogeneration system;0;B;1100_006;zur n‰chsten;Kraftwaermekopplungsanlagen;Kraft-W‰rme-Kopplungsanlagen;;to the next;Cogeneration system;cogeneration system;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B1100_007;per Rad zur n‰chsten Solaranlage;by bike to the next solar energy;0;B;1100_007;zur n‰chsten;Solaranlage;Solaranlage;;to the next;Solar energy;solar energy;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B1100_008;per Rad zur n‰chsten Pumpstation;by bike to the next pumping station;0;B;1100_008;zur n‰chsten;Pumpstation;Pumpstation;;to the next;Pumping station;pumping station;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B1100_009;per Rad zur n‰chsten Windkraftanlage;by bike to the next wind turbine;0;B;1100_009;zur n‰chsten;Windkraftanlage;Windkraftanlage;;to the next;Wind turbine;wind turbine;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
B1100_010;per Rad zum n‰chsten Flieﬂgew‰sser;by bike to the next rivers and streams;0;B;1100_010;zum n‰chsten;Fliessgewaesser;Flieﬂgew‰sser;;to the next;Rivers and streams;rivers and streams;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B1100_011;per Rad zum n‰chsten stehenden Gew‰sser;by bike to the next lakes and ponds;0;B;1100_011;zum n‰chsten;StehendeGewaesser;stehenden Gew‰sser;x;to the next;Lakes and ponds;lakes and ponds;per Rad;per Rad zum n‰chsten;by bike;by bike to the next
B1100_012;per Rad zur n‰chsten Landnutzung;by bike to the next landuse;0;B;1100_012;zur n‰chsten;Landnutzung;Landnutzung;;to the next;Landuse;landuse;per Rad;per Rad zur n‰chsten;by bike;by bike to the next
P1000_001;mit PKW zur n‰chsten Feuerwehr;by car to the next fire station;0;P;1000_001;zur n‰chsten;Feuerwehr;Feuerwehr;;to the next;Fire station;fire station;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
P1000_002;mit PKW zum n‰chsten Hydrant;by car to the next hydrant;0;P;1000_002;zum n‰chsten;Hydrant;Hydrant;;to the next;Hydrant;hydrant;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P1000_003;mit PKW zum n‰chsten Katastrophenschutz;by car to the next disaster control;0;P;1000_003;zum n‰chsten;Katastrophenschutz;Katastrophenschutz;;to the next;Disaster control;disaster control;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P1000_004;mit PKW zur n‰chsten Polizei;by car to the next police station;0;P;1000_004;zur n‰chsten;Polizei;Polizei;;to the next;Police station;police station;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
P1000_005;mit PKW zum n‰chsten Rathaus;by car to the next city hall;0;P;1000_005;zum n‰chsten;Rathaus;Rathaus;;to the next;City hall;city hall;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P1000_006;mit PKW zum n‰chsten Recyclinghof/Sammelstelle;by car to the next recylcing site;0;P;1000_006;zum n‰chsten;RecyclinghofSammelstelle;Recyclinghof/Sammelstelle;;to the next;Recylcing site;recylcing site;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P1000_007;mit PKW zur n‰chsten ˆffentlichen Trinkwasserstelle;by car to the next public drinking water;0;P;1000_007;zur n‰chsten;OeffentlicheTrinkwasserstelle;ˆffentlichen Trinkwasserstelle;x;to the next;Public drinking water;public drinking water;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
P2000_001;mit PKW zur n‰chsten Apotheke;by car to the next pharmacy;0;P;2000_001;zur n‰chsten;Apotheke;Apotheke;;to the next;Pharmacy;pharmacy;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
P2000_002;mit PKW zum n‰chsten Arzt;by car to the next medical doctor;0;P;2000_002;zum n‰chsten;Arzt;Arzt;;to the next;Medical doctor;medical doctor;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P2000_003;mit PKW zum n‰chsten Krankenhaus;by car to the next hospital;0;P;2000_003;zum n‰chsten;Krankenhaus;Krankenhaus;;to the next;Hospital;hospital;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P2000_004;mit PKW zur n‰chsten Pflegeeinrichtung;by car to the next healthcare center;0;P;2000_004;zur n‰chsten;Pflegeeinrichtung;Pflegeeinrichtung;;to the next;Healthcare center;healthcare center;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
P3000_001;mit PKW zur n‰chsten Berufsschule;by car to the next vocational school;0;P;3000_001;zur n‰chsten;Berufsschule;Berufsschule;;to the next;Vocational school;vocational school;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
P3000_002;mit PKW zum n‰chsten Forschungsinstitut;by car to the next research facility;0;P;3000_002;zum n‰chsten;Forschungsinstitut;Forschungsinstitut;;to the next;Research facility;research facility;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P3000_003;mit PKW zur n‰chsten Schule;by car to the next school;0;P;3000_003;zur n‰chsten;Schule;Schule;;to the next;School;school;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
P3000_004;mit PKW zur n‰chsten Hochschule;by car to the next university;0;P;3000_004;zur n‰chsten;Hochschule;Hochschule;;to the next;University;university;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
P3000_005;mit PKW zum n‰chsten Kindergarten;by car to the next kindergarten;0;P;3000_005;zum n‰chsten;Kindergarten;Kindergarten;;to the next;Kindergarten;kindergarten;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P3000_006;mit PKW zur n‰chsten Kita;by car to the next daycare center;0;P;3000_006;zur n‰chsten;Kita;Kita;;to the next;Daycare center;daycare center;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
P3000_007;mit PKW zur n‰chsten Tagesmutter;by car to the next daycare parent;0;P;3000_007;zur n‰chsten;Tagesmutter;Tagesmutter;;to the next;Daycare parent;daycare parent;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
P3000_008;mit PKW zur n‰chsten Volkshochschule;by car to the next adult education center;0;P;3000_008;zur n‰chsten;Volkshochschule;Volkshochschule;;to the next;Adult education center;adult education center;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
P4000_001;mit PKW zum n‰chsten Asylbewerberheim;by car to the next refugee shelter;0;P;4000_001;zum n‰chsten;Asylbewerberheim;Asylbewerberheim;;to the next;Refugee shelter;refugee shelter;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P4000_002;mit PKW zum n‰chsten Beratungsstelle/Hilfswerk;by car to the next social advice center;0;P;4000_002;zum n‰chsten;BeratungsstelleHilfswerk;Beratungsstelle/Hilfswerk;;to the next;Social advice center;social advice center;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P4000_003;mit PKW zum n‰chsten Familienzentrum;by car to the next family center;0;P;4000_003;zum n‰chsten;Familienzentrum;Familienzentrum;;to the next;Family center;family center;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P4000_004;mit PKW zum n‰chsten Jugendfreizeithaus;by car to the next youth center;0;P;4000_004;zum n‰chsten;Jugendfreizeithaus;Jugendfreizeithaus;;to the next;Youth center;youth center;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P4000_005;mit PKW zum n‰chsten Seniorentreff;by car to the next senior citizen center;0;P;4000_005;zum n‰chsten;Seniorentreff;Seniorentreff;;to the next;Senior citizen center;senior citizen center;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P4000_006;mit PKW zur n‰chsten Integrationshilfe;by car to the next integration advice center;0;P;4000_006;zur n‰chsten;Integrationshilfe;Integrationshilfe;;to the next;Integration advice center;integration advice center;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
P4000_007;mit PKW zum n‰chsten Studentenwohnheim;by car to the next students dormitory;0;P;4000_007;zum n‰chsten;Studentenwohnheim;Studentenwohnheim;;to the next;Students dormitory;students dormitory;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P4000_008;mit PKW zum n‰chsten Verein;by car to the next association;0;P;4000_008;zum n‰chsten;Verein;Verein;;to the next;Association;association;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P5000_001;mit PKW zum n‰chsten Fernbahnhof;by car to the next train station;0;P;5000_001;zum n‰chsten;Fernbahnhof;Fernbahnhof;;to the next;Train station;train station;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P5000_002;mit PKW zum n‰chsten Fernbusbahnhof;by car to the next bus station;0;P;5000_002;zum n‰chsten;Fernbusbahnhof;Fernbusbahnhof;;to the next;Bus station;bus station;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P5000_003;mit PKW zum n‰chsten Flughafen;by car to the next airpot;0;P;5000_003;zum n‰chsten;Flughafen;Flughafen;;to the next;Airpot;airpot;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P5000_004;mit PKW zum n‰chsten PKW-Parkplatz;by car to the next parking lot;0;P;5000_004;zum n‰chsten;PKWParkplatz;PKW-Parkplatz;;to the next;Parking lot;parking lot;mit PKW;mit PKW zum n‰chsten;by car;by car to the next
P5000_005;mit PKW zur n‰chsten wichtigen Verkehrsengstelle;by car to the next important traffic bottleneck;-0.8;P;5000_005;zur n‰chsten;wichtigeVerkehrsengstelle;wichtigen Verkehrsengstelle;x;to the next;Important traffic bottleneck;important traffic bottleneck;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
P5000_006;mit PKW zur n‰chsten Bushaltestelle;by car to the next bus stop;0;P;5000_006;zur n‰chsten;Bushaltestelle;Bushaltestelle;;to the next;Bus stop;bus stop;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
P5000_007;mit PKW zur n‰chsten U-Bahn/Tram-Haltestelle;by car to the next subway/tram stop;0;P;5000_007;zur n‰chsten;UBahnTramHaltestelle;U-Bahn/Tram-Haltestelle;;to the next;Subway/Tram stop;subway/tram stop;mit PKW;mit PKW zur n‰chsten;by car;by car to the next
